zone_id,emp_diff,hh_diff,emp_diff_pct,hh_diff_pct,emp_multiplier,hh_multiplier
371,-396,152,-0.785714286,0.301587302,1,1
372,1242,-82,9.480916031,-0.625954198,1,1
373,-148,119,-0.491694352,0.395348837,1,1
374,3553,121,34.16346154,1.163461538,1,1
375,923,121,35.5,4.653846154,1,1
376,3223,-116,24.41666667,-0.878787879,1,1
377,924,86,7.053435115,0.65648855,1,1
378,-123,776,-0.137430168,0.867039106,1,1
379,126,1243,0.204878049,2.021138211,1,1
380,505,51,3.136645963,0.316770186,1,1
381,1590,192,7.130044843,0.860986547,1,1
382,975,-4,139.2857143,-0.571428571,1,1
383,1921,5,7.533333333,0.019607843,1,1
384,744,-10,148.8,-2,1,1
385,125,-2,2.192982456,-0.035087719,1,1
386,759,-6,379.5,-3,1,1
387,1563,-111,142.0909091,-10.09090909,1,1
388,1570,-26,65.41666667,-1.083333333,1,1
389,2418,-3,86.35714286,-0.107142857,1,1
390,1171,-24,1171,-24,1,1
391,270,1,33.75,0.125,1,1
392,1456,154,12.33898305,1.305084746,1,1
393,2021,-10,17.72807018,-0.087719298,1,1
394,2973,-5,1486.5,-2.5,1,1
395,160,833,1.142857143,5.95,1,1
396,2376,61,21.40540541,0.54954955,1,1
397,455,-195,11.375,-4.875,1,1
398,768,131,7.68,1.31,1,1
399,-115,262,-0.463709677,1.056451613,1,1
400,30,4,3,0.4,1,1
401,-1700,-886,-0.802265219,-0.418121756,1,1
402,-1298,863,-0.924501425,0.614672365,1,1
403,888,-104,34.15384615,-4,1,1
404,604,90,#DIV/0!,1,1,1
405,21,-189,1.909090909,-17.18181818,1,1
406,-328,-513,-0.636893204,-0.996116505,1,1
407,-1045,-1152,-0.60334873,-0.665127021,1,1
408,4,-104,4,-104,1,1
409,434,140,3.214814815,1.037037037,1,1
410,-177,-115,-0.486263736,-0.315934066,1,1
411,-202,-48,-0.671096346,-0.159468439,1,1
412,-546,79,-0.618346546,0.089467724,1,1
413,30,358,0.081300813,0.970189702,1,1
414,294,157,0.616352201,0.329140461,1,1
415,844,-35,281.3333333,-11.66666667,1,1
416,-13,-3,-1,-0.230769231,1,1
417,337,123,#DIV/0!,1,1,1
418,0,-2,#DIV/0!,1,1,1
419,267,12,#DIV/0!,1,1,1
420,-4038,108,-0.843710823,0.022565817,1,1
421,-761,-87,-0.624282199,-0.071369975,1,1
422,1586,40,33.74468085,0.85106383,1,1
423,160,4,0.569395018,0.014234875,1,1
424,725,-13,65.90909091,-1.181818182,1,1
425,4090,-12,28.6013986,-0.083916084,1,1
426,-68,-8,-0.971428571,-0.114285714,1,1
427,-118,-5,-0.802721088,-0.034013605,1,1
428,-2474,391,-0.952270978,0.150500385,1,1
429,-249,40,-0.736686391,0.118343195,1,1
430,-2786,-473,-0.951177876,-0.161488563,1,1
431,-496,10,-0.511340206,0.010309278,1,1
432,0,-25,0,-0.625,1,1
433,1774,1,70.96,0.04,1,1
434,305,-6,#DIV/0!,1,1,1
435,-294,-462,-0.890909091,-1.4,1,1
436,137,-5,137,-5,1,1
437,477,-5,119.25,-1.25,1,1
438,-148,243,-0.264758497,0.43470483,1,1
439,605,681,50.41666667,56.75,1,1
440,118,-17,0.598984772,-0.086294416,1,1
441,490,-6,61.25,-0.75,1,1
442,-43,-243,-0.075704225,-0.427816901,1,1
443,-62,-64,-0.165333333,-0.170666667,1,1
444,-101,163,-0.118963486,0.191990577,1,1
445,108,11,27,2.75,1,1
446,-776,-682,-0.901277584,-0.792102207,1,1
447,-2,-3,-1,-1.5,1,1
448,-77,2460,-1,31.94805195,1,1
