year,sector_id_six,home_based_status,county_id,total_number_of_jobs
2017,2,1,8001,241
2017,3,1,8001,5163
2017,4,1,8001,26
2017,5,1,8001,739
2017,6,1,8001,4642
2017,1,1,8005,97
2017,2,1,8005,153
2017,3,1,8005,2941
2017,4,1,8005,18
2017,5,1,8005,525
2017,6,1,8005,7996
2017,1,1,8013,96
2017,2,1,8013,108
2017,3,1,8013,1418
2017,4,1,8013,10
2017,5,1,8013,394
2017,6,1,8013,3487
2017,1,1,8014,11
2017,2,1,8014,10
2017,3,1,8014,236
2017,4,1,8014,0
2017,5,1,8014,49
2017,6,1,8014,404
2017,1,1,8019,1
2017,2,1,8019,1
2017,3,1,8019,49
2017,4,1,8019,1
2017,5,1,8019,9
2017,6,1,8019,69
2017,1,1,8031,120
2017,2,1,8031,203
2017,3,1,8031,2409
2017,4,1,8031,30
2017,5,1,8031,464
2017,6,1,8031,5606
2017,1,1,8035,80
2017,2,1,8035,120
2017,3,1,8035,1885
2017,4,1,8035,4
2017,5,1,8035,364
2017,6,1,8035,3423
2017,1,1,8039,3
2017,2,1,8039,8
2017,3,1,8039,184
2017,4,1,8039,0
2017,5,1,8039,15
2017,6,1,8039,169
2017,1,1,8047,0
2017,2,1,8047,0
2017,3,1,8047,18
2017,4,1,8047,0
2017,5,1,8047,4
2017,6,1,8047,12
2017,1,1,8059,115
2017,2,1,8059,148
2017,3,1,8059,3272
2017,4,1,8059,11
2017,5,1,8059,629
2017,6,1,8059,5403
2017,1,1,8123,3
2017,2,1,8123,9
2017,3,1,8123,335
2017,4,1,8123,0
2017,5,1,8123,35
2017,6,1,8123,305
2018,1,1,8001,165
2018,2,1,8001,255
2018,3,1,8001,5402
2018,4,1,8001,26
2018,5,1,8001,784
2018,6,1,8001,4730
2018,1,1,8005,97
2018,2,1,8005,152
2018,3,1,8005,2941
2018,4,1,8005,20
2018,5,1,8005,525
2018,6,1,8005,8350
2018,1,1,8013,95
2018,2,1,8013,107
2018,3,1,8013,1415
2018,4,1,8013,10
2018,5,1,8013,393
2018,6,1,8013,3479
2018,1,1,8014,11
2018,2,1,8014,10
2018,3,1,8014,234
2018,4,1,8014,0
2018,5,1,8014,49
2018,6,1,8014,401
2018,1,1,8019,1
2018,2,1,8019,1
2018,3,1,8019,49
2018,4,1,8019,1
2018,5,1,8019,9
2018,6,1,8019,69
2018,1,1,8031,121
2018,2,1,8031,206
2018,3,1,8031,2426
2018,4,1,8031,30
2018,5,1,8031,465
2018,6,1,8031,5629
2018,1,1,8035,79
2018,2,1,8035,121
2018,3,1,8035,1912
2018,4,1,8035,4
2018,5,1,8035,367
2018,6,1,8035,3451
2018,1,1,8039,3
2018,2,1,8039,8
2018,3,1,8039,185
2018,4,1,8039,0
2018,5,1,8039,15
2018,6,1,8039,174
2018,1,1,8047,0
2018,2,1,8047,0
2018,3,1,8047,18
2018,4,1,8047,0
2018,5,1,8047,4
2018,6,1,8047,12
2018,1,1,8059,115
2018,2,1,8059,147
2018,3,1,8059,3249
2018,4,1,8059,11
2018,5,1,8059,627
2018,6,1,8059,5367
2018,1,1,8123,3
2018,2,1,8123,9
2018,3,1,8123,335
2018,4,1,8123,0
2018,5,1,8123,35
2018,6,1,8123,305
2019,1,1,8001,176
2019,2,1,8001,264
2019,3,1,8001,5664
2019,4,1,8001,27
2019,5,1,8001,830
2019,6,1,8001,4803
2019,1,1,8005,98
2019,2,1,8005,156
2019,3,1,8005,2932
2019,4,1,8005,20
2019,5,1,8005,527
2019,6,1,8005,8735
2019,1,1,8013,94
2019,2,1,8013,107
2019,3,1,8013,1415
2019,4,1,8013,10
2019,5,1,8013,390
2019,6,1,8013,3461
2019,1,1,8014,11
2019,2,1,8014,10
2019,3,1,8014,233
2019,4,1,8014,0
2019,5,1,8014,48
2019,6,1,8014,398
2019,1,1,8019,1
2019,2,1,8019,1
2019,3,1,8019,48
2019,4,1,8019,1
2019,5,1,8019,9
2019,6,1,8019,69
2019,1,1,8031,120
2019,2,1,8031,206
2019,3,1,8031,2435
2019,4,1,8031,30
2019,5,1,8031,469
