zone_id,hh_sim,emp_sim
292,4,744
293,1274,879
294,408,95
295,328,36
296,364,42
297,603,136
298,,
299,966,34
300,1825,756
301,1295,345
302,616,252
303,4,8
304,2,1544
305,45,449
306,148,303
307,536,293
308,7,253
309,60,9
310,947,183
311,1100,1068
312,675,123
313,490,226
314,7,
315,4,472
316,242,103
317,615,188
318,477,236
319,957,209
320,159,111
321,593,202
322,83,30
323,268,89
324,1000,290
325,11,936
326,274,291
327,432,93
328,473,339
329,239,38
330,301,61
331,25,300
332,916,230
333,17,
334,65,6
335,812,563
336,717,725
337,245,52
338,223,78
339,96,164
340,169,177
341,492,426
342,256,116
343,328,279
344,500,134
345,56,930
346,427,110
347,437,256
348,690,178
349,364,135
350,845,582
351,541,286
352,603,758
353,316,585
354,413,478
355,1581,601
356,2,370
357,47,163
358,990,181
359,313,28
360,4,846
361,1,1380
362,9,1417
363,411,789
364,16,610
365,348,318
366,465,82
367,410,198
368,69,2284
369,560,631
370,505,714
371,350,98
372,367,1298
373,122,178
374,46,3590
375,203,865
376,38,3478
377,65,957
378,808,773
379,1063,797
380,130,685
381,232,1674
382,2,999
383,31,2158
384,,670
385,,145
386,,651
387,,1244
388,4,1316
389,8,2287
390,1,1102
391,5,177
392,8,1411
393,27,2346
394,2,1331
395,937,250
396,96,899
397,5,450
398,177,871
399,480,145
400,13,35
401,782,408
402,657,107
403,44,579
404,,583
405,291,34
406,454,206
407,1085,787
408,9,5
409,373,509
410,179,190
411,207,149
412,327,325
413,501,411
414,301,793
415,8,903
416,,
417,136,401
418,,
419,15,90
420,1609,835
421,1031,410
422,99,1283
423,215,456
424,3,717
425,4,3907
426,14,2
427,95,33
428,1203,152
429,447,97
430,1141,158
431,713,462
432,80,28
433,76,1728
434,,310
435,274,56
436,1,160
437,20,150
438,731,421
439,547,491
440,213,341
441,9,331
442,646,537
443,928,303
444,865,403
445,26,49
446,205,62
447,,
448,176,
449,217,241
450,995,825
451,15,558
452,1179,50
453,1756,295
454,5,1207
455,194,1061
456,81,1264
457,2,571
458,332,135
459,532,149
460,1236,528
461,1705,698
462,749,209
463,719,216
464,277,501
465,74,170
466,151,33
467,263,52
468,602,755
469,948,419
470,636,1427
471,332,692
472,1421,471
473,673,144
474,300,271
475,519,207
476,172,110
477,565,155
478,435,239
479,1164,797
480,928,371
481,707,782
482,1006,672
483,688,215
484,904,1441
485,486,189
486,475,117
487,93,219
488,31,228
489,28,15
490,771,174
491,409,28
492,930,345
493,859,352
494,190,139
495,483,166
496,143,105
497,687,239
498,395,197
499,101,68
500,14,14
501,22,21
502,186,119
503,597,362
504,840,884
505,834,1160
506,1448,864
507,473,73
508,354,674
509,464,96
510,746,137
511,696,321
512,775,213
513,390,360
514,259,1126
515,1094,863
516,246,243
517,538,499
518,177,121
519,691,246
520,246,1718
521,316,467
522,177,492
523,5,1227
524,153,1032
525,1218,394
526,34,874
527,248,172
528,701,252
529,489,241
530,475,292
531,,37
532,101,976
533,192,3210
534,205,635
535,96,1201
536,517,388
537,7,3139
538,325,780
539,744,712
540,259,169
541,124,160
542,52,1528
543,16,906
544,360,137
545,11,780
546,,
547,54,11
548,192,423
549,439,860
550,617,239
551,743,557
552,317,315
553,1086,284
554,411,63
555,572,482
556,785,234
557,829,1344
558,114,757
559,226,399
560,362,644
561,943,600
562,22,3
563,151,15
564,431,1538
565,61,58
566,132,420
567,865,110
568,867,1105
569,21,768
570,541,653
571,204,2218
572,235,89
573,38,313
574,50,1256
575,159,405
576,1028,99
577,428,449
578,932,1489
579,62,1545
580,60,1416
581,983,1047
582,778,949
583,423,373
584,485,449
585,544,332
586,7,863
587,579,395
588,713,503
589,341,1237
590,522,1003
591,212,319
592,343,191
593,526,1219
594,658,664
595,62,1070
596,760,158
597,585,365
598,491,419
599,549,3447
600,1379,619
601,965,531
602,1461,323
603,682,366
604,13,86
605,448,709
606,747,204
607,412,247
608,385,216
609,711,439
610,846,603
611,404,304
612,450,370
613,691,157
614,810,640
615,852,870
616,1070,1362
617,625,1594
618,463,866
619,457,816
620,313,505
621,1333,1655
622,481,1220
623,313,173
624,2,3482
625,18,1159
626,34,2993
627,647,897
628,548,303
629,30,397
630,45,3177
631,183,359
632,148,318
633,835,2135
634,778,1089
635,420,418
636,441,1185
637,628,455
638,792,620
639,643,114
640,577,1108
641,396,535
642,320,1323
643,989,485
644,52,840
645,614,244
646,317,233
647,299,747
648,442,241
649,231,417
650,464,920
651,386,190
652,606,496
653,416,459
654,565,480
655,691,1129
656,412,855
657,640,778
658,554,244
659,1009,1637
660,27,1228
661,111,2438
662,1868,431
663,844,400
664,922,560
665,1269,546
666,487,251
667,646,879
668,447,459
669,428,401
670,670,131
671,563,153
672,1348,178
673,568,130
674,609,448
675,640,325
676,837,520
677,1343,245
678,56,132
679,570,1044
680,475,259
681,521,274
682,464,107
683,600,430
684,327,114
685,399,234
686,1276,206
687,1502,75
688,212,1349
689,461,852
690,432,3788
691,72,1685
692,869,1385
693,1193,715
694,38,1035
695,2518,622
696,107,4217
697,390,4668
698,316,9
699,66,3702
700,695,1121
701,805,765
702,825,311
703,1130,774
704,77,1720
705,1532,685
706,549,212
707,635,178
708,9,5
709,2,12
710,704,352
711,745,246
712,822,2666
